sample,local_idx,sample_idx,rf_seed,Vs1,H,CoV,Vs2,f0,reference,method,f_peak,A_peak,delta_f_peak,delta_ln_A_peak,gof_af,rel_l2,pearson,sigma_ln_spatial_mean
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,GINO,0.5305480360984802,14.45069694519043,0.0072866082191467,0.4228769864566628,0.1276356554128894,0.3126210333704366,0.9276987887684692,0.1396448762839661
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,1D Base Case,0.5791122913360596,12.767007827758787,0.055850863456726,0.2989986715226477,0.1821811780130254,0.535242958047456,0.7090526459990258,6.55681741302732e-17
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,Pretell's approach,0.5208548307418823,15.107806205749512,-0.0024065971374511,0.4673459190677715,0.1067748647157596,0.3324250915814973,0.9292759476402358,0.2725275287715273
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,Toro Vs,0.5607234835624695,5.336020955922186,0.0374620556831359,-0.5733854225623599,0.1639707967065564,0.4076954494513269,0.8108167192329387,
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,Passeri tts,0.5791122913360596,11.897798809167496,0.055850863456726,0.2284877505483968,0.1793886421141308,0.5155137684703813,0.7198475344338571,
9,483,3823,6816957,189.73753870077093,82.0,0.2549427602440118,1125.5531570163855,0.5784681057950334,OpenSees 2-D,Pretell,0.5354620814323425,9.195262518894792,0.012200653553009,-0.0291772506121298,0.0869167450857432,0.2851618198859232,0.908788096582122,
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,OpenSees 2-D,2.0573742389678955,33.41422271728516,0.0,0.0,0.0,0.0,1.0,0.0915960316854201
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,GINO,2.076430082321167,23.111299514770508,0.0190558433532714,-0.3686599847884012,0.0933639601823481,0.2656957939600606,0.9657867766288928,0.0973686799063332
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,1D Base Case,2.214855194091797,12.76433277130127,0.1574809551239013,-0.9623268600427036,0.1884549440921337,0.64083562529048,0.6733079285474023,5.43469768926613e-17
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,Pretell's approach,2.0956623554229736,19.689416885375977,0.0382881164550781,-0.5289003617491602,0.0764405434484605,0.3938816469826762,0.9042683404129416,0.1254292544238746
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,Toro Vs,2.14452600479126,5.336064652495261,0.0871517658233642,-1.834493214377048,0.1830309932684433,0.6913803669805328,0.7206919292329951,
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,Passeri tts,2.214855194091797,11.89587586866715,0.1574809551239013,-1.0327898648101832,0.1878739281723515,0.6369328763846284,0.6845854986873234,
10,5,40,1652291,265.7281021271786,30.0,0.1504425639286637,1021.9334664726358,2.2144008510598217,OpenSees 2-D,Pretell,2.174389362335205,11.91793069496229,0.1170151233673095,-1.0309375920505222,0.1431413462975587,0.5544169714749098,0.7891570410327802,
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,OpenSees 2-D,1.5388177633285522,9.79527187347412,0.0,0.0,0.0,0.0,1.0,0.1313874607783272
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,GINO,1.4968392848968506,7.34403133392334,-0.0419784784317016,-0.2880118874530956,0.084810368195569,0.2000494826515174,0.9628813894501752,0.1126008570694936
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,1D Base Case,1.574697732925415,12.765769958496094,0.0358799695968627,0.2648675594498212,0.0345617882803894,0.179323026197239,0.9745357303164016,5.2268117426009867e-17
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,Pretell's approach,1.596626043319702,16.99361228942871,0.0578082799911499,0.5509377184007589,0.0638449645575591,0.391987452886973,0.9233333256423032,0.1733775286486832
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,Toro Vs,1.5246957540512085,5.336056131054057,-0.0141220092773437,-0.6074129794929707,0.0703919128294759,0.3148006887540657,0.9295419837163892,
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,Passeri tts,1.574697732925415,11.896870354280145,0.0358799695968627,0.1943755627255303,0.032967717352782,0.1537762677963252,0.9794224399785726,
11,597,4520,4583763,226.636542366128,36.0,0.2384542470797896,1014.0811699534812,1.5738648775425554,OpenSees 2-D,Pretell,1.5246957540512085,10.203971861018909,-0.0141220092773437,0.0408772352696095,0.0413284667227236,0.1422437312328333,0.9828467128687766,
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,OpenSees 2-D,0.9267593026161194,43.23571395874024,0.0,0.0,0.0,0.0,1.0,0.1900447334848068
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,GINO,0.9098272919654846,35.102882385253906,-0.0169320106506347,-0.2083836193815681,0.1016949239654834,0.3329312747487186,0.9237027263086944,0.1479326776328862
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,1D Base Case,0.9794696569442748,12.766447067260742,0.0527103543281555,-1.2198464593470926,0.2389754855654959,0.6913705189159444,0.6800646548135615,5.679523608818276e-17
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,Pretell's approach,0.8451366424560547,19.1323356628418,-0.0816226601600647,-0.8152869954789257,0.2399345674073254,0.7668125247101664,0.4847127519038011,0.2571059457372797
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,Toro Vs,0.9483681917190552,5.336045728428174,0.0216088891029357,-2.092181987347804,0.2371160581644342,0.7643332892818131,0.6745872343680256,
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,Passeri tts,0.9794696569442748,11.897354998122594,0.0527103543281555,-1.2903507593730652,0.2387500668513629,0.6919846887840613,0.6879161001791181,
12,699,5396,6732507,238.81110316876217,61.0,0.214666705019772,1104.0173947608328,0.9787340293801728,OpenSees 2-D,Pretell,0.9749649167060852,9.816535377973686,0.0482056140899658,-1.4825986184401443,0.159853383214729,0.6743312520697176,0.7520060207688803,
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,OpenSees 2-D,0.993109166622162,17.132183074951172,0.0,0.0,0.0,0.0,1.0,0.1616719750564197
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,GINO,1.0023075342178345,18.905797958374023,0.0091983675956726,0.0985098994694852,0.0944452213479437,0.1677093817955459,0.9779317657138888,0.1248903862847971
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,1D Base Case,1.079028844833374,12.758289337158203,0.0859196782112121,-0.2947775413929054,0.2049506635411905,0.5432927022447072,0.6976093912055735,5.967997022650065e-17
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,Pretell's approach,0.9615746140480042,14.096290588378906,-0.0315345525741577,-0.1950470619016294,0.0910401952426722,0.2744104782268998,0.9316217082601136,0.2090727963932794
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,Toro Vs,1.039960861206055,5.33597357012297,0.0468516945838928,-1.1664873903603932,0.1742973231753348,0.5301694759222436,0.777954884536684,
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,Passeri tts,1.079028844833374,11.892697658117632,0.0859196782112121,-0.3650341762489923,0.2034184082453184,0.5310349185790956,0.70941255526338,
13,953,7343,2979592,146.29610715353328,34.0,0.2125997029244899,882.3956287443269,1.0757066702465683,OpenSees 2-D,Pretell,1.0304169654846191,8.17194959482986,0.0373077988624572,-0.7402512369332616,0.1164835973294573,0.3985851535242823,0.8790092583645274,
14,442,3540,6309120,232.90156909952375,27.0,0.2187564650550484,1028.941478887828,2.156496010180776,OpenSees 2-D,OpenSees 2-D,1.9828839302062988,17.002056121826172,0.0,0.0,0.0,0.0,1.0,0.083483073086061
14,442,3540,6309120,232.90156909952375,27.0,0.2187564650550484,1028.941478887828,2.156496010180776,OpenSees 2-D,GINO,2.038493394851685,8.555536270141602,0.0556094646453857,-0.6867556947096404,0.1832213186082043,0.3973618459892745,0.8761100378099347,0.1150788910883652
14,442,3540,6309120,232.90156909952375,27.0,0.2187564650550484,1028.941478887828,2.156496010180776,OpenSees 2-D,1D Base Case,2.1544346809387207,12.754791259765623,0.1715507507324218,-0.2874272989907083,0.1629382128862704,0.5407433951222584,0.7123467271184071,5.743515862601476e-17
14,442,3540,6309120,232.90156909952375,27.0,0.2187564650550484,1028.941478887828,2.156496010180776,OpenSees 2-D,Pretell's approach,1.8935521841049197,16.932493209838867,-0.0893317461013794,-0.0040998339919323,0.1190233098259615,0.3911090560728166,0.8650310923448751,0.1441339802858123
14,442,3540,6309120,232.90156909952375,27.0,0.2187564650550484,1028.941478887828,2.156496010180776,OpenSees 2-D,Toro Vs,2.086024045944214,5.3360293759290895,0.103140115737915,-1.1588524712530148,0.1465495349567954,0.5268384565822819,0.810981569195681,
